symbol,date,open,high,low,close,volume,SMA,EMA,MACD,RSI,BBANDS Upper,BBANDS Lower,ATR,VWAP
GOOGL,2024-07-02,182.05,185.57,181.56,185.24,17372485,178.3671,179.0976,,64.9908,186.0104,170.7239,3.2964,
MSFT,2024-07-02,453.2,459.59,453.113,459.28,13979779,440.7643,442.7188,,67.9759,464.8946,416.6341,6.9495,
TSLA,2024-07-02,218.89,231.3,218.06,231.26,205047920,186.3505,191.187,,74.2137,214.4969,158.2041,8.4439,
AAPL,2024-07-03,220.0,221.55,219.03,221.55,37369801,209.2191,209.0995,,69.9895,225.4425,192.9956,4.5927,
AMZN,2024-07-03,199.94,200.029,196.7601,197.59,31597926,,,,,,,,
GOOGL,2024-07-03,184.85,186.09,184.0,185.82,10242126,178.9777,179.714,,65.5752,186.87,171.0855,3.236,
MSFT,2024-07-03,458.19,461.02,457.88,460.77,9932830,442.9954,444.3599,,68.6548,465.5032,420.4875,6.7587,
TSLA,2024-07-03,234.56,248.35,234.25,246.39,166561471,189.9315,196.4445,,77.7283,227.8136,152.0494,8.8762,
AAPL,2024-07-05,221.65,226.45,221.65,226.34,60412408,210.7408,210.7167,,72.5882,227.2922,194.1894,4.6078,
AMZN,2024-07-05,198.65,200.55,198.17,200.0,39858885,,,,,,,,
GOOGL,2024-07-05,185.855,190.86,185.8,190.6,20967450,179.7462,180.7264,,69.9295,188.8324,170.66,3.3268,
MSFT,2024-07-05,459.61,468.35,458.965,467.56,16000290,445.169,446.4903,,71.5482,468.0257,422.3123,6.8892,
TSLA,2024-07-05,249.81,252.37,242.4601,251.52,154501152,193.7575,201.6898,,78.7615,239.4799,148.0351,8.9278,
AAPL,2024-07-08,227.09,227.85,223.25,227.82,59085861,212.4059,212.3207,,73.3391,228.6871,196.1246,4.6071,
AMZN,2024-07-08,200.04,201.2,197.96,199.29,34767261,,,,,,,,
GOOGL,2024-07-08,189.895,190.17,187.78,189.03,21035886,180.3705,181.493,,66.9995,190.1132,170.6278,3.3013,
MSFT,2024-07-08,466.55,467.7,464.46,466.24,12962321,447.2513,448.2922,,70.2218,469.509,424.9935,6.7064,
TSLA,2024-07-08,247.71,259.439,244.57,252.94,157219580,197.5075,206.5707,,79.0447,249.3222,145.6928,9.2249,
AAPL,2024-07-09,227.93,229.4,226.3721,228.68,48169822,213.9936,213.8537,,73.7784,230.0157,197.9714,4.528,
AMZN,2024-07-09,199.4,200.57,199.045,199.34,32756736,,,,,,,,
GOOGL,2024-07-09,190.31,191.36,188.72,188.98,15141312,181.1054,182.1819,,66.9055,191.0389,171.1719,3.2681,
MSFT,2024-07-09,467.0,467.33,458.0,459.54,17228507,449.0326,449.2856,,63.8929,468.8402,429.225,6.8368,
TSLA,2024-07-09,251.0,265.61,250.3,262.33,160742516,201.75,211.8811,,80.8248,259.827,143.673,9.5292,
AAPL,2024-07-10,229.3,233.08,229.25,232.98,62627687,215.9843,215.6498,,75.8712,230.8818,201.0868,4.5213,
AMZN,2024-07-10,199.995,200.11,197.69,199.79,32883753,,,,,,,,
GOOGL,2024-07-10,189.15,191.75,189.03,191.18,15952454,181.9128,183.0144,,68.9243,192.2728,171.5528,3.243,
MSFT,2024-07-10,461.22,466.46,458.855,466.25,18196100,450.9482,450.8223,,67.0259,469.2581,432.6383,6.8745,
TSLA,2024-07-10,262.8,267.59,257.86,263.26,128519430,206.2235,216.7744,,80.9931,268.6193,143.8277,9.5392,
AAPL,2024-07-11,231.39,232.39,225.77,227.57,64710617,217.0041,216.7602,,68.6185,232.0694,201.9388,4.6554,
AMZN,2024-07-11,200.09,200.2699,192.86,195.05,44565041,,,,,,,,
GOOGL,2024-07-11,189.845,190.86,185.08,185.57,25625784,182.3597,183.2341,,59.2265,192.4957,172.2238,3.3854,
MSFT,2024-07-11,462.98,464.78,451.55,454.7,23111175,452.0472,451.1146,,57.9199,468.1614,435.9331,7.2645,
TSLA,2024-07-11,263.3,271.0,239.65,241.03,221707273,209.742,219.0844,,66.3407,271.6537,147.8303,10.6297,
AAPL,2024-07-12,228.92,232.64,228.68,230.54,53046527,217.8766,218.0474,,70.2613,233.8657,201.8875,4.6758,
AMZN,2024-07-12,194.8,196.47,193.8301,194.49,30598525,,,,,,,,
GOOGL,2024-07-12,185.08,187.11,184.49,185.07,22898406,182.7233,183.3852,,58.4549,192.6629,172.7836,3.347,
MSFT,2024-07-12,454.325,456.36,450.645,453.55,16324274,452.6706,451.2698,,57.1068,467.8527,437.4886,7.1865,
TSLA,2024-07-12,235.8,251.84,233.0912,248.23,155955773,213.289,221.8602,,68.2961,275.4852,151.0928,11.0357,
AAPL,2024-07-15,236.48,237.23,233.09,234.4,62631252,218.8834,219.5791,,72.2487,236.245,201.5219,4.7761,
AMZN,2024-07-15,194.56,196.19,190.83,192.72,40683227,,,,,,,,
GOOGL,2024-07-15,184.92,188.24,184.92,186.53,16474043,183.291,183.6609,,60.0545,192.665,173.9169,3.3454,
MSFT,2024-07-15,453.3,457.26,451.43,453.96,14429447,453.2885,451.4491,,57.3316,467.4592,439.1179,7.1182,
TSLA,2024-07-15,255.97,265.6,251.73,252.64,146912920,216.7975,224.7916,,69.4407,279.5579,154.0371,11.3524,
AAPL,2024-07-16,235.0,236.27,232.33,234.82,43234278,219.9987,221.005,,72.4595,238.3488,201.6485,4.7341,
AMZN,2024-07-16,195.59,196.62,192.24,193.02,33994714,,,,,,,,
GOOGL,2024-07-16,187.36,188.68,183.3736,183.92,18290722,183.647,183.662,,55.9973,192.4965,174.7975,3.4431,
MSFT,2024-07-16,454.22,454.3,446.66,449.52,17175679,453.6354,451.1892,,54.0995,466.978,440.2929,7.1436,
TSLA,2024-07-16,255.31,258.62,245.8001,256.56,126332470,220.725,227.8172,,70.4393,283.1148,158.3352,11.4258,
AAPL,2024-07-17,229.45,231.4599,226.64,228.88,57345884,220.6085,221.7299,,65.0978,239.2508,201.9661,4.9059,
AMZN,2024-07-17,191.35,191.58,185.99,187.93,48076139,,,,,,,,
GOOGL,2024-07-17,182.965,183.55,179.9,181.02,20734071,183.8358,183.3873,,51.8966,192.2612,175.4104,3.4717,
MSFT,2024-07-17,442.59,444.85,439.18,443.52,21754021,453.3933,450.3837,,50.0832,467.3296,439.4571,7.3025,
TSLA,2024-07-17,252.73,258.47,246.182,248.5,115584810,223.778,229.787,,65.7866,285.3241,162.2319,11.4689,
AAPL,2024-07-18,230.28,230.44,222.27,224.18,66034585,221.1024,221.9388,,60.019,239.5453,202.6595,5.0687,
AMZN,2024-07-18,189.59,189.68,181.448,183.75,51043626,,,,,,,,
GOOGL,2024-07-18,181.93,182.5,176.47,177.69,25315727,183.9656,182.8219,,47.6766,191.8991,176.0321,3.5992,
MSFT,2024-07-18,444.34,444.65,434.4,440.37,20794822,453.0954,449.3555,,48.1095,467.9167,438.2741,7.4489,
TSLA,2024-07-18,251.09,257.14,247.2,249.23,110869037,226.9965,231.6387,,66.0007,286.7721,167.2209,11.3924,
AAPL,2024-07-19,224.82,226.8,223.275,224.31,49151453,221.8331,222.1401,,60.1096,239.5118,204.1543,4.9913,
AMZN,2024-07-19,181.14,184.93,180.11,183.13,43081829,,,,,,,,
GOOGL,2024-07-19,178.88,180.29,177.13,177.66,18881885,184.0335,182.3076,,47.6398,191.7145,176.3525,3.577,
MSFT,2024-07-19,433.1,441.14,432.0,437.11,20940417,452.6666,448.1152,,46.129,468.8445,436.4887,7.5327,
TSLA,2024-07-19,247.79,249.44,236.83,239.2,87403903,229.878,232.3588,,60.5229,286.065,173.691,11.4533,
AAPL,2024-07-22,227.01,227.78,223.09,223.96,48201835,222.6556,222.2889,,59.726,239.0266,206.2846,4.9759,
AMZN,2024-07-22,185.0,185.06,182.48,182.55,39931923,,,,,,,,
GOOGL,2024-07-22,180.59,182.7,180.23,181.67,24100345,184.1354,182.2236,,52.7613,191.6188,176.6519,3.6498,
MSFT,2024-07-22,441.79,444.6,438.9125,442.94,15808755,452.3253,447.5473,,50.0034,469.0779,435.5726,7.5299,
TSLA,2024-07-22,244.21,253.21,243.75,251.51,101225430,233.303,234.1827,,64.3459,285.8798,180.7262,11.5812,
AAPL,2024-07-23,224.365,226.94,222.68,225.01,39960260,223.4981,222.5235,,60.5216,238.4149,208.5814,4.9399,
AMZN,2024-07-23,184.1,189.39,183.56,186.41,47537670,,,,,,,,
GOOGL,2024-07-23,182.05,183.61,181.54,181.79,36352714,184.2637,182.1591,,52.9064,191.472,177.0554,3.5707,
MSFT,2024-07-23,443.895,448.39,443.1,444.85,13107050,452.1845,447.2151,,51.2134,469.1637,435.2053,7.4254,
TSLA,2024-07-23,253.6,255.7594,245.63,246.38,111928192,236.493,235.3444,,61.7238,283.856,189.13,11.5086,
AAPL,2024-07-24,224.0,224.8,217.13,218.54,61777576,223.9711,222.1202,,53.6474,237.5361,210.4061,5.0864,
AMZN,2024-07-24,183.2,185.45,180.41,180.83,41532360,,,,,,,,
GOOGL,2024-07-24,173.6,176.19,171.82,172.63,49585203,183.6944,181.2295,,42.4335,192.57,174.8189,3.89,
MSFT,2024-07-24,440.45,441.48,427.585,428.9,26805800,451.084,445.3982,,42.2295,471.0407,431.1272,7.9158,
TSLA,2024-07-24,225.42,225.99,214.71,215.99,167942939,237.925,233.5011,,49.2174,280.775,195.075,12.5166,
AAPL,2024-07-25,218.93,220.85,214.62,217.49,51391199,224.1829,221.6555,,52.6263,237.1767,211.189,5.1433,
AMZN,2024-07-25,182.91,183.8958,176.8,179.85,44464163,,,,,,,,
GOOGL,2024-07-25,172.52,173.42,167.19,167.28,44851973,182.8656,179.8796,,37.8295,194.3285,171.4026,4.0066,
MSFT,2024-07-25,428.8,429.8,417.51,418.4,29943795,449.399,442.7561,,37.6525,474.105,424.693,8.1335,
TSLA,2024-07-25,216.8,226.0,216.231,220.25,100636466,239.119,232.2391,,50.6916,278.4577,199.7803,12.3913,
AAPL,2024-07-26,218.7,219.49,216.01,217.96,41601345,224.3756,221.2797,,53.0473,236.8551,211.8962,5.0599,
AMZN,2024-07-26,180.39,183.19,180.24,182.5,29505964,,,,,,,,
GOOGL,2024-07-26,167.15,168.09,164.06,167.0,41336886,181.9463,178.6316,,37.6048,195.3157,168.5769,4.0075,
MSFT,2024-07-26,418.2,428.915,417.27,425.27,23583839,448.0224,441.0187,,41.9832,474.9531,421.0917,8.308,
TSLA,2024-07-26,221.19,222.2799,215.33,219.8,94604145,240.238,231.0544,,50.5285,275.8668,204.6092,12.1192,
AAPL,2024-07-29,216.96,219.3,215.75,218.24,36311778,224.7562,220.9663,,53.3076,235.8975,213.6149,4.9842,
AMZN,2024-07-29,183.84,184.75,182.38,183.2,33270123,,,,,,,,
GOOGL,2024-07-29,168.83,170.43,167.99,169.53,20293822,181.3161,177.7431,,40.9423,195.7774,166.8549,3.9784,
MSFT,2024-07-29,431.58,432.15,424.7042,426.73,15125836,447.0132,439.5856,,42.8709,475.6094,418.417,8.2642,
TSLA,2024-07-29,224.9,234.27,224.7,232.1,129201789,241.949,231.154,,54.7202,272.1501,211.7479,12.2368,
AAPL,2024-07-30,219.19,220.325,216.12,218.8,41643840,224.8586,220.7361,,53.8462,235.7289,213.9883,4.945,
AMZN,2024-07-30,184.72,185.86,179.38,181.71,39508574,,,,,,,,
GOOGL,2024-07-30,170.24,171.2299,168.44,170.29,18959686,180.682,177.0115,,41.9246,195.9282,165.4359,3.9188,
MSFT,2024-07-30,427.72,429.05,417.36,422.92,32687578,445.3257,437.9268,,41.1417,475.5573,415.0941,8.4345,
TSLA,2024-07-30,232.25,232.41,220.0,222.62,100560334,242.587,230.3412,,51.2006,270.5022,214.6718,12.2454,
AAPL,2024-07-31,221.44,223.82,220.63,222.08,50036262,224.949,220.8398,,56.9107,235.686,214.212,4.9485,
AMZN,2024-07-31,185.05,187.94,184.46,186.98,41667326,,,,,,,,
GOOGL,2024-07-31,173.24,174.245,170.01,171.54,25729090,179.9979,176.4684,,43.5501,195.6321,164.3637,3.9343,
MSFT,2024-07-31,420.495,421.775,412.21,418.35,42891366,443.2829,435.9915,,39.148,475.1641,411.4016,8.5473,
TSLA,2024-07-31,227.9,234.68,226.7875,232.07,67497011,242.6275,230.5059,,54.2859,270.4792,214.7758,12.2362,
AAPL,2024-08-01,224.37,224.48,217.02,218.36,62500996,224.7897,220.5798,,52.7309,235.8291,213.7502,5.0736,
AMZN,2024-08-01,189.285,190.6,181.87,184.07,70435635,,,,,,,,
GOOGL,2024-08-01,170.25,174.05,168.88,170.76,24531392,179.2459,175.9029,,42.7639,195.1796,163.3123,3.9957,
MSFT,2024-08-01,420.785,427.46,413.0901,417.11,30296400,441.1037,434.1226,,38.6135,474.0694,408.1381,8.8372,
TSLA,2024-08-01,227.69,231.867,214.3328,216.86,83861898,241.151,229.2063,,49.0336,271.1002,211.2018,12.5112,
AAPL,2024-08-02,219.15,225.6,217.71,219.86,105568560,224.466,220.4872,,54.1599,235.7127,213.2194,5.214,
AMZN,2024-08-02,166.75,168.77,160.55,167.9,141448365,,,,,,,,
